epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,988.508,0.44668,0.44585,0.97233,0.98071,0.92791,0.95701,0.88904,0.43546,0.38028,0.95668,0.000132098,0.000132098,0.000132098
91,1041.28,0.3901,0.37819,0.95208,0.97459,0.92397,0.95497,0.87367,0.44811,0.38683,0.97326,0.000121099,0.000121099,0.000121099
92,1051.55,0.37863,0.37927,0.94267,0.98219,0.93031,0.95527,0.87498,0.45038,0.37997,0.96251,0.0001101,0.0001101,0.0001101
93,1061.68,0.36994,0.35083,0.94318,0.96973,0.93671,0.95491,0.88458,0.42762,0.37771,0.95894,9.91012e-05,9.91012e-05,9.91012e-05
94,1073.47,0.37103,0.34191,0.94533,0.97731,0.91683,0.95496,0.88284,0.42433,0.37523,0.95904,8.81023e-05,8.81023e-05,8.81023e-05
95,1083.85,0.36483,0.34934,0.93812,0.98058,0.93009,0.95929,0.88168,0.42698,0.35908,0.95943,7.71034e-05,7.71034e-05,7.71034e-05
96,1093.99,0.35416,0.3342,0.93993,0.98172,0.92621,0.95941,0.88717,0.41628,0.35686,0.95345,6.61045e-05,6.61045e-05,6.61045e-05
97,1104.26,0.35135,0.32975,0.91697,0.97849,0.93406,0.95683,0.8896,0.414,0.35591,0.95327,5.51056e-05,5.51056e-05,5.51056e-05
98,1114.67,0.35465,0.33349,0.91602,0.97713,0.93366,0.95714,0.88829,0.40919,0.35294,0.95076,4.41067e-05,4.41067e-05,4.41067e-05
99,1125.02,0.34366,0.32497,0.92188,0.97286,0.94005,0.95636,0.88987,0.40276,0.35004,0.94957,3.31078e-05,3.31078e-05,3.31078e-05
100,1135.74,0.33536,0.33228,0.91872,0.97633,0.92834,0.95641,0.89103,0.40349,0.34809,0.9492,2.21089e-05,2.21089e-05,2.21089e-05
